client id,noise multiplier,round,epsilon
client0,0.2,1,5.105918
client0,0.2,2,5.410144
client0,0.2,3,5.71437
client0,0.2,4,6.018596
client0,0.2,5,6.322822
client0,0.2,6,6.627048
client0,0.2,7,6.931274
client0,0.2,8,7.2355
client0,0.2,9,7.539727
client0,0.2,10,7.843953
client0,0.2,11,8.148179
client0,0.2,12,8.452405
client0,0.2,13,8.756631
client0,0.2,14,9.060857
client0,0.2,15,9.365083
client0,0.2,16,9.669309
client0,0.2,17,9.973535
client0,0.2,18,10.277762
client0,0.2,19,10.581988
client0,0.2,20,10.886214
client0,0.2,21,11.028549
client0,0.2,22,11.071498
client0,0.2,23,11.114446
client0,0.2,24,11.157395
client0,0.2,25,11.200343
client0,0.2,26,11.243292
client0,0.2,27,11.28624
client0,0.2,28,11.329189
client0,0.2,29,11.372137
client0,0.2,30,11.415086
client0,0.2,31,11.458034
client0,0.2,32,11.500983
client0,0.2,33,11.543931
client0,0.2,34,11.58688
client0,0.2,35,11.629828
client0,0.2,36,11.672777
client0,0.2,37,11.715725
client0,0.2,38,11.758674
client0,0.2,39,11.801622
client0,0.2,40,11.844571
client0,0.2,41,11.887519
client0,0.2,42,11.930468
client0,0.2,43,11.973416
client0,0.2,44,12.016365
client0,0.2,45,12.059313
client0,0.2,46,12.102262
client0,0.2,47,12.14521
client0,0.2,48,12.188159
client0,0.2,49,12.231107
client0,0.2,50,12.274056
client0,0.2,51,12.317004
client0,0.2,52,12.359953
client0,0.2,53,12.402901
client0,0.2,54,12.44585
client0,0.2,55,12.488798
client0,0.2,56,12.531747
client0,0.2,57,12.574695
client0,0.2,58,12.617644
client0,0.2,59,12.660592
client0,0.2,60,12.703541
client0,0.2,61,12.746489
client0,0.2,62,12.789438
client0,0.2,63,12.832386
client0,0.2,64,12.875335
client0,0.2,65,12.918283
client0,0.2,66,12.961232
client0,0.2,67,13.00418
client0,0.2,68,13.047128
client0,0.2,69,13.090077
client0,0.2,70,13.133025
client0,0.2,71,13.175974
client0,0.2,72,13.218922
client0,0.2,73,13.261871
client0,0.2,74,13.304819
client0,0.2,75,13.347768
client0,0.2,76,13.390716
client0,0.2,77,13.433665
client0,0.2,78,13.476613
client0,0.2,79,13.519562
client0,0.2,80,13.56251
client0,0.2,81,13.605459
client0,0.2,82,13.648407
client0,0.2,83,13.691356
client0,0.2,84,13.734304
client0,0.2,85,13.777253
client0,0.2,86,13.820201
client0,0.2,87,13.86315
client0,0.2,88,13.906098
client0,0.2,89,13.949047
client0,0.2,90,13.991995
client0,0.2,91,14.034944
client0,0.2,92,14.077892
client0,0.2,93,14.120841
client0,0.2,94,14.163789
client0,0.2,95,14.206738
client0,0.2,96,14.249686
client0,0.2,97,14.292635
client0,0.2,98,14.335583
client0,0.2,99,14.378532
client0,0.2,100,14.42148
client1,0.2,1,4.910457
client1,0.2,2,5.019223
client1,0.2,3,5.127989
client1,0.2,4,5.236755
client1,0.2,5,5.345521
client1,0.2,6,5.454287
client1,0.2,7,5.563053
client1,0.2,8,5.671819
client1,0.2,9,5.780585
client1,0.2,10,5.889351
client1,0.2,11,5.998117
client1,0.2,12,6.106883
client1,0.2,13,6.215648
client1,0.2,14,6.324414
client1,0.2,15,6.43318
client1,0.2,16,6.541946
client1,0.2,17,6.650712
client1,0.2,18,6.759478
client1,0.2,19,6.868244
client1,0.2,20,6.97701
client1,0.2,21,7.085776
client1,0.2,22,7.194542
client1,0.2,23,7.303308
client1,0.2,24,7.412074
client1,0.2,25,7.52084
client1,0.2,26,7.629605
client1,0.2,27,7.738371
client1,0.2,28,7.847137
client1,0.2,29,7.955903
client1,0.2,30,8.064669
client1,0.2,31,8.173435
client1,0.2,32,8.282201
client1,0.2,33,8.390967
client1,0.2,34,8.499733
client1,0.2,35,8.608499
client1,0.2,36,8.717265
client1,0.2,37,8.826031
client1,0.2,38,8.934797
client1,0.2,39,9.043562
client1,0.2,40,9.152328
client1,0.2,41,9.261094
client1,0.2,42,9.36986
client1,0.2,43,9.478626
client1,0.2,44,9.587392
client1,0.2,45,9.696158
client1,0.2,46,9.804924
client1,0.2,47,9.91369
client1,0.2,48,10.022456
client1,0.2,49,10.131222
client1,0.2,50,10.239988
client1,0.2,51,10.348754
client1,0.2,52,10.457519
client1,0.2,53,10.566285
client1,0.2,54,10.675051
client1,0.2,55,10.783817
client1,0.2,56,10.892583
client1,0.2,57,11.001349
client1,0.2,58,11.110115
client1,0.2,59,11.218881
client1,0.2,60,11.327647
client1,0.2,61,11.436413
client1,0.2,62,11.545179
client1,0.2,63,11.621329
client1,0.2,64,11.645054
client1,0.2,65,11.66878
client1,0.2,66,11.692505
client1,0.2,67,11.71623
client1,0.2,68,11.739956
client1,0.2,69,11.763681
client1,0.2,70,11.787407
client1,0.2,71,11.811132
client1,0.2,72,11.834857
client1,0.2,73,11.858583
client1,0.2,74,11.882308
client1,0.2,75,11.906033
client1,0.2,76,11.929759
client1,0.2,77,11.953484
client1,0.2,78,11.97721
client1,0.2,79,12.000935
client1,0.2,80,12.02466
client1,0.2,81,12.048386
client1,0.2,82,12.072111
client1,0.2,83,12.095836
client1,0.2,84,12.119562
client1,0.2,85,12.143287
client1,0.2,86,12.167012
client1,0.2,87,12.190738
client1,0.2,88,12.214463
client1,0.2,89,12.238189
client1,0.2,90,12.261914
client1,0.2,91,12.285639
client1,0.2,92,12.309365
client1,0.2,93,12.33309
client1,0.2,94,12.356815
client1,0.2,95,12.380541
client1,0.2,96,12.404266
client1,0.2,97,12.427991
client1,0.2,98,12.451717
client1,0.2,99,12.475442
client1,0.2,100,12.499168
client2,0.2,1,13.139051
client2,0.2,2,16.15147
client2,0.2,3,19.163889
client2,0.2,4,22.176309
client2,0.2,5,25.188728
client2,0.2,6,28.201148
client2,0.2,7,31.213567
client2,0.2,8,34.225986
client2,0.2,9,37.238406
client2,0.2,10,40.250825
client2,0.2,11,43.263245
client2,0.2,12,46.275664
client2,0.2,13,49.288084
client2,0.2,14,52.300503
client2,0.2,15,55.312922
client2,0.2,16,58.325342
client2,0.2,17,61.337761
client2,0.2,18,64.350181
client2,0.2,19,67.3626
client2,0.2,20,70.37502
client2,0.2,21,73.387439
client2,0.2,22,76.399858
client2,0.2,23,79.412278
client2,0.2,24,82.424697
client2,0.2,25,85.437117
client2,0.2,26,88.449536
client2,0.2,27,91.461956
client2,0.2,28,94.474375
client2,0.2,29,97.486794
client2,0.2,30,100.499214
client2,0.2,31,103.511633
client2,0.2,32,106.524053
client2,0.2,33,109.536472
client2,0.2,34,112.548891
client2,0.2,35,115.561311
client2,0.2,36,118.57373
client2,0.2,37,121.58615
client2,0.2,38,124.598569
client2,0.2,39,127.610989
client2,0.2,40,130.623408
client2,0.2,41,133.635827
client2,0.2,42,136.648247
client2,0.2,43,139.660666
client2,0.2,44,142.673086
client2,0.2,45,145.685505
client2,0.2,46,148.697925
client2,0.2,47,151.710344
client2,0.2,48,154.722763
client2,0.2,49,157.735183
client2,0.2,50,160.747602
client2,0.2,51,163.760022
client2,0.2,52,166.772441
client2,0.2,53,169.784861
client2,0.2,54,172.79728
client2,0.2,55,175.809699
client2,0.2,56,178.822119
client2,0.2,57,181.834538
client2,0.2,58,184.846958
client2,0.2,59,187.859377
client2,0.2,60,190.871796
client2,0.2,61,193.884216
client2,0.2,62,196.896635
client2,0.2,63,199.909055
client2,0.2,64,202.921474
client2,0.2,65,205.933894
client2,0.2,66,208.946313
client2,0.2,67,211.958732
client2,0.2,68,214.971152
client2,0.2,69,217.983571
client2,0.2,70,220.995991
client2,0.2,71,224.00841
client2,0.2,72,227.02083
client2,0.2,73,230.033249
client2,0.2,74,233.045668
client2,0.2,75,236.058088
client2,0.2,76,239.070507
client2,0.2,77,242.082927
client2,0.2,78,245.095346
client2,0.2,79,248.107766
client2,0.2,80,251.120185
client2,0.2,81,254.132604
client2,0.2,82,257.145024
client2,0.2,83,260.157443
client2,0.2,84,263.169863
client2,0.2,85,266.182282
client2,0.2,86,269.194701
client2,0.2,87,272.207121
client2,0.2,88,275.21954
client2,0.2,89,278.23196
client2,0.2,90,281.244379
client2,0.2,91,284.256799
client2,0.2,92,287.269218
client2,0.2,93,290.281637
client2,0.2,94,293.294057
client2,0.2,95,296.306476
client2,0.2,96,299.318896
client2,0.2,97,302.331315
client2,0.2,98,305.343735
client2,0.2,99,308.356154
client2,0.2,100,311.368573
client0,0.18,1,10.312964
client0,0.18,2,10.499297
client0,0.18,3,10.68563
client0,0.18,4,10.871964
client0,0.18,5,11.058297
client0,0.18,6,11.24463
client0,0.18,7,11.430963
client0,0.18,8,11.617296
client0,0.18,9,11.803629
client0,0.18,10,11.989962
client0,0.18,11,12.176295
client0,0.18,12,12.362628
client0,0.18,13,12.548962
client0,0.18,14,12.735295
client0,0.18,15,12.921628
client0,0.18,16,13.107961
client0,0.18,17,13.294294
client0,0.18,18,13.480627
client0,0.18,19,13.66696
client0,0.18,20,13.853293
client0,0.18,21,14.039627
client0,0.18,22,14.22596
client0,0.18,23,14.412293
client0,0.18,24,14.598626
client0,0.18,25,14.784959
client0,0.18,26,14.971292
client0,0.18,27,15.157625
client0,0.18,28,15.343958
client0,0.18,29,15.530291
client0,0.18,30,15.716625
client0,0.18,31,15.902958
client0,0.18,32,16.089291
client0,0.18,33,16.275624
client0,0.18,34,16.461957
client0,0.18,35,16.64829
client0,0.18,36,16.834623
client0,0.18,37,17.020956
client0,0.18,38,17.207289
client0,0.18,39,17.393623
client0,0.18,40,17.579956
client0,0.18,41,17.766289
client0,0.18,42,17.952622
client0,0.18,43,18.138955
client0,0.18,44,18.325288
client0,0.18,45,18.511621
client0,0.18,46,18.697954
client0,0.18,47,18.884288
client0,0.18,48,19.070621
client0,0.18,49,19.256954
client0,0.18,50,19.443287
client0,0.18,51,19.62962
client0,0.18,52,19.815953
client0,0.18,53,20.002286
client0,0.18,54,20.188619
client0,0.18,55,20.374952
client0,0.18,56,20.561286
client0,0.18,57,20.747619
client0,0.18,58,20.933952
client0,0.18,59,21.120285
client0,0.18,60,21.306618
client0,0.18,61,21.492951
client0,0.18,62,21.679284
client0,0.18,63,21.865617
client0,0.18,64,22.05195
client0,0.18,65,22.238284
client0,0.18,66,22.424617
client0,0.18,67,22.61095
client0,0.18,68,22.797283
client0,0.18,69,22.983616
client0,0.18,70,23.169949
client0,0.18,71,23.356282
client0,0.18,72,23.542615
client0,0.18,73,23.728949
client0,0.18,74,23.915282
client0,0.18,75,24.101615
client0,0.18,76,24.287948
client0,0.18,77,24.474281
client0,0.18,78,24.660614
client0,0.18,79,24.846947
client0,0.18,80,25.03328
client0,0.18,81,25.219613
client0,0.18,82,25.405947
client0,0.18,83,25.59228
client0,0.18,84,25.778613
client0,0.18,85,25.964946
client0,0.18,86,26.151279
client0,0.18,87,26.337612
client0,0.18,88,26.523945
client0,0.18,89,26.710278
client0,0.18,90,26.896611
client0,0.18,91,27.082945
client0,0.18,92,27.269278
client0,0.18,93,27.455611
client0,0.18,94,27.641944
client0,0.18,95,27.828277
client0,0.18,96,28.01461
client0,0.18,97,28.200943
client0,0.18,98,28.387276
client0,0.18,99,28.573609
client0,0.18,100,28.759943
client1,0.18,1,10.229564
client1,0.18,2,10.332498
client1,0.18,3,10.435431
client1,0.18,4,10.538364
client1,0.18,5,10.641297
client1,0.18,6,10.74423
client1,0.18,7,10.847163
client1,0.18,8,10.950097
client1,0.18,9,11.05303
client1,0.18,10,11.155963
client1,0.18,11,11.258896
client1,0.18,12,11.361829
client1,0.18,13,11.464763
client1,0.18,14,11.567696
client1,0.18,15,11.670629
client1,0.18,16,11.773562
client1,0.18,17,11.876495
client1,0.18,18,11.979429
client1,0.18,19,12.082362
client1,0.18,20,12.185295
client1,0.18,21,12.288228
client1,0.18,22,12.391161
client1,0.18,23,12.494095
client1,0.18,24,12.597028
client1,0.18,25,12.699961
client1,0.18,26,12.802894
client1,0.18,27,12.905827
client1,0.18,28,13.008761
client1,0.18,29,13.111694
client1,0.18,30,13.214627
client1,0.18,31,13.31756
client1,0.18,32,13.420493
client1,0.18,33,13.523427
client1,0.18,34,13.62636
client1,0.18,35,13.729293
client1,0.18,36,13.832226
client1,0.18,37,13.935159
client1,0.18,38,14.038093
client1,0.18,39,14.141026
client1,0.18,40,14.243959
client1,0.18,41,14.346892
client1,0.18,42,14.449825
client1,0.18,43,14.552759
client1,0.18,44,14.655692
client1,0.18,45,14.758625
client1,0.18,46,14.861558
client1,0.18,47,14.964491
client1,0.18,48,15.067425
client1,0.18,49,15.170358
client1,0.18,50,15.273291
client1,0.18,51,15.376224
client1,0.18,52,15.479157
client1,0.18,53,15.582091
client1,0.18,54,15.685024
client1,0.18,55,15.787957
client1,0.18,56,15.89089
client1,0.18,57,15.993823
client1,0.18,58,16.096757
client1,0.18,59,16.19969
client1,0.18,60,16.302623
client1,0.18,61,16.405556
client1,0.18,62,16.508489
client1,0.18,63,16.611423
client1,0.18,64,16.714356
client1,0.18,65,16.817289
client1,0.18,66,16.920222
client1,0.18,67,17.023155
client1,0.18,68,17.126089
client1,0.18,69,17.229022
client1,0.18,70,17.331955
client1,0.18,71,17.434888
client1,0.18,72,17.537821
client1,0.18,73,17.640755
client1,0.18,74,17.743688
client1,0.18,75,17.846621
client1,0.18,76,17.949554
client1,0.18,77,18.052487
client1,0.18,78,18.155421
client1,0.18,79,18.258354
client1,0.18,80,18.361287
client1,0.18,81,18.46422
client1,0.18,82,18.567153
client1,0.18,83,18.670087
client1,0.18,84,18.77302
client1,0.18,85,18.875953
client1,0.18,86,18.978886
client1,0.18,87,19.081819
client1,0.18,88,19.184753
client1,0.18,89,19.287686
client1,0.18,90,19.390619
client1,0.18,91,19.493552
client1,0.18,92,19.596485
client1,0.18,93,19.699419
client1,0.18,94,19.802352
client1,0.18,95,19.905285
client1,0.18,96,20.008218
client1,0.18,97,20.111151
client1,0.18,98,20.214085
client1,0.18,99,20.317018
client1,0.18,100,20.419951
client2,0.18,1,23.101233
client2,0.18,2,36.075834
client2,0.18,3,49.050436
client2,0.18,4,62.025038
client2,0.18,5,74.999639
client2,0.18,6,87.974241
client2,0.18,7,100.948843
client2,0.18,8,113.923444
client2,0.18,9,126.898046
client2,0.18,10,139.872648
client2,0.18,11,152.847249
client2,0.18,12,165.821851
client2,0.18,13,178.796453
client2,0.18,14,191.771054
client2,0.18,15,204.745656
client2,0.18,16,217.720258
client2,0.18,17,230.694859
client2,0.18,18,243.669461
client2,0.18,19,256.644063
client2,0.18,20,269.618664
client2,0.18,21,282.593266
client2,0.18,22,295.567868
client2,0.18,23,308.542469
client2,0.18,24,321.517071
client2,0.18,25,334.491673
client2,0.18,26,347.466274
client2,0.18,27,360.440876
client2,0.18,28,373.415478
client2,0.18,29,386.390079
client2,0.18,30,399.364681
client2,0.18,31,412.339283
client2,0.18,32,425.313884
client2,0.18,33,438.288486
client2,0.18,34,451.263088
client2,0.18,35,464.237689
client2,0.18,36,477.212291
client2,0.18,37,490.186893
client2,0.18,38,503.161494
client2,0.18,39,516.136096
client2,0.18,40,529.110698
client2,0.18,41,542.085299
client2,0.18,42,555.059901
client2,0.18,43,568.034503
client2,0.18,44,581.009104
client2,0.18,45,593.983706
client2,0.18,46,606.958308
client2,0.18,47,619.932909
client2,0.18,48,632.907511
client2,0.18,49,645.882113
client2,0.18,50,658.856714
client2,0.18,51,671.831316
client2,0.18,52,684.805917
client2,0.18,53,697.780519
client2,0.18,54,710.755121
client2,0.18,55,723.729722
client2,0.18,56,736.704324
client2,0.18,57,749.678926
client2,0.18,58,762.653527
client2,0.18,59,775.628129
client2,0.18,60,788.602731
client2,0.18,61,801.577332
client2,0.18,62,814.551934
client2,0.18,63,827.526536
client2,0.18,64,840.501137
client2,0.18,65,853.475739
client2,0.18,66,866.450341
client2,0.18,67,879.424942
client2,0.18,68,892.399544
client2,0.18,69,905.374146
client2,0.18,70,918.348747
client2,0.18,71,931.323349
client2,0.18,72,944.297951
client2,0.18,73,957.272552
client2,0.18,74,970.247154
client2,0.18,75,983.221756
client2,0.18,76,996.196357
client2,0.18,77,1009.170959
client2,0.18,78,1022.145561
client2,0.18,79,1035.120162
client2,0.18,80,1048.094764
client2,0.18,81,1061.069366
client2,0.18,82,1074.043967
client2,0.18,83,1087.018569
client2,0.18,84,1099.993171
client2,0.18,85,1112.967772
client2,0.18,86,1125.942374
client2,0.18,87,1138.916976
client2,0.18,88,1151.891577
client2,0.18,89,1164.866179
client2,0.18,90,1177.840781
client2,0.18,91,1190.815382
client2,0.18,92,1203.789984
client2,0.18,93,1216.764586
client2,0.18,94,1229.739187
client2,0.18,95,1242.713789
client2,0.18,96,1255.688391
client2,0.18,97,1268.662992
client2,0.18,98,1281.637594
client2,0.18,99,1294.612196
client2,0.18,100,1307.586797
client0,0.17,1,10.601137
client0,0.17,2,11.075642
client0,0.17,3,11.550148
client0,0.17,4,12.024653
client0,0.17,5,12.499159
client0,0.17,6,12.973664
client0,0.17,7,13.44817
client0,0.17,8,13.922676
client0,0.17,9,14.397181
client0,0.17,10,14.871687
client0,0.17,11,15.346192
client0,0.17,12,15.820698
client0,0.17,13,16.295203
client0,0.17,14,16.769709
client0,0.17,15,17.244214
client0,0.17,16,17.71872
client0,0.17,17,18.193226
client0,0.17,18,18.667731
client0,0.17,19,19.142237
client0,0.17,20,19.616742
client0,0.17,21,20.091248
client0,0.17,22,20.565753
client0,0.17,23,21.040259
client0,0.17,24,21.514765
client0,0.17,25,21.98927
client0,0.17,26,22.463776
client0,0.17,27,22.938281
client0,0.17,28,23.412787
client0,0.17,29,23.887292
client0,0.17,30,24.361798
client0,0.17,31,24.836303
client0,0.17,32,25.310809
client0,0.17,33,25.785315
client0,0.17,34,26.25982
client0,0.17,35,26.734326
client0,0.17,36,27.208831
client0,0.17,37,27.683337
client0,0.17,38,28.157842
client0,0.17,39,28.632348
client0,0.17,40,29.106853
client0,0.17,41,29.581359
client0,0.17,42,30.055865
client0,0.17,43,30.53037
client0,0.17,44,31.004876
client0,0.17,45,31.479381
client0,0.17,46,31.953887
client0,0.17,47,32.428392
client0,0.17,48,32.902898
client0,0.17,49,33.377404
client0,0.17,50,33.851909
client0,0.17,51,34.326415
client0,0.17,52,34.80092
client0,0.17,53,35.275426
client0,0.17,54,35.749931
client0,0.17,55,36.224437
client0,0.17,56,36.698942
client0,0.17,57,37.173448
client0,0.17,58,37.647954
client0,0.17,59,38.122459
client0,0.17,60,38.596965
client0,0.17,61,39.07147
client0,0.17,62,39.545976
client0,0.17,63,40.020481
client0,0.17,64,40.494987
client0,0.17,65,40.969492
client0,0.17,66,41.443998
client0,0.17,67,41.918504
client0,0.17,68,42.393009
client0,0.17,69,42.867515
client0,0.17,70,43.34202
client0,0.17,71,43.816526
client0,0.17,72,44.291031
client0,0.17,73,44.765537
client0,0.17,74,45.240043
client0,0.17,75,45.714548
client0,0.17,76,46.189054
client0,0.17,77,46.663559
client0,0.17,78,47.138065
client0,0.17,79,47.61257
client0,0.17,80,48.087076
client0,0.17,81,48.561581
client0,0.17,82,49.036087
client0,0.17,83,49.510593
client0,0.17,84,49.985098
client0,0.17,85,50.459604
client0,0.17,86,50.934109
client0,0.17,87,51.408615
client0,0.17,88,51.88312
client0,0.17,89,52.357626
client0,0.17,90,52.832131
client0,0.17,91,53.306637
client0,0.17,92,53.781143
client0,0.17,93,54.255648
client0,0.17,94,54.730154
client0,0.17,95,55.204659
client0,0.17,96,55.679165
client0,0.17,97,56.15367
client0,0.17,98,56.628176
client0,0.17,99,57.102682
client0,0.17,100,57.577187
client1,0.17,1,10.388756
client1,0.17,2,10.65088
client1,0.17,3,10.913005
client1,0.17,4,11.175129
client1,0.17,5,11.437254
client1,0.17,6,11.699378
client1,0.17,7,11.961503
client1,0.17,8,12.223627
client1,0.17,9,12.485752
client1,0.17,10,12.747876
client1,0.17,11,13.010001
client1,0.17,12,13.272125
client1,0.17,13,13.53425
client1,0.17,14,13.796374
client1,0.17,15,14.058499
client1,0.17,16,14.320623
client1,0.17,17,14.582748
client1,0.17,18,14.844872
client1,0.17,19,15.106997
client1,0.17,20,15.369121
client1,0.17,21,15.631246
client1,0.17,22,15.89337
client1,0.17,23,16.155495
client1,0.17,24,16.417619
client1,0.17,25,16.679744
client1,0.17,26,16.941868
client1,0.17,27,17.203993
client1,0.17,28,17.466117
client1,0.17,29,17.728242
client1,0.17,30,17.990366
client1,0.17,31,18.252491
client1,0.17,32,18.514615
client1,0.17,33,18.77674
client1,0.17,34,19.038864
client1,0.17,35,19.300989
client1,0.17,36,19.563113
client1,0.17,37,19.825238
client1,0.17,38,20.087363
client1,0.17,39,20.349487
client1,0.17,40,20.611612
client1,0.17,41,20.873736
client1,0.17,42,21.135861
client1,0.17,43,21.397985
client1,0.17,44,21.66011
client1,0.17,45,21.922234
client1,0.17,46,22.184359
client1,0.17,47,22.446483
client1,0.17,48,22.708608
client1,0.17,49,22.970732
client1,0.17,50,23.232857
client1,0.17,51,23.494981
client1,0.17,52,23.757106
client1,0.17,53,24.01923
client1,0.17,54,24.281355
client1,0.17,55,24.543479
client1,0.17,56,24.805604
client1,0.17,57,25.067728
client1,0.17,58,25.329853
client1,0.17,59,25.591977
client1,0.17,60,25.854102
client1,0.17,61,26.116226
client1,0.17,62,26.378351
client1,0.17,63,26.640475
client1,0.17,64,26.9026
client1,0.17,65,27.164724
client1,0.17,66,27.426849
client1,0.17,67,27.688973
client1,0.17,68,27.951098
client1,0.17,69,28.213222
client1,0.17,70,28.475347
client1,0.17,71,28.737471
client1,0.17,72,28.999596
client1,0.17,73,29.26172
client1,0.17,74,29.523845
client1,0.17,75,29.785969
client1,0.17,76,30.048094
client1,0.17,77,30.310218
client1,0.17,78,30.572343
client1,0.17,79,30.834467
client1,0.17,80,31.096592
client1,0.17,81,31.358716
client1,0.17,82,31.620841
client1,0.17,83,31.882965
client1,0.17,84,32.14509
client1,0.17,85,32.407215
client1,0.17,86,32.669339
client1,0.17,87,32.931464
client1,0.17,88,33.193588
client1,0.17,89,33.455713
client1,0.17,90,33.717837
client1,0.17,91,33.979962
client1,0.17,92,34.242086
client1,0.17,93,34.504211
client1,0.17,94,34.766335
client1,0.17,95,35.02846
client1,0.17,96,35.290584
client1,0.17,97,35.552709
client1,0.17,98,35.814833
client1,0.17,99,36.076958
client1,0.17,100,36.339082
client2,0.17,1,42.695358
client2,0.17,2,75.264084
client2,0.17,3,107.832811
client2,0.17,4,140.401537
client2,0.17,5,172.970264
client2,0.17,6,205.538991
client2,0.17,7,238.107717
client2,0.17,8,270.676444
client2,0.17,9,303.24517
client2,0.17,10,335.813897
client2,0.17,11,368.382623
client2,0.17,12,400.95135
client2,0.17,13,433.520077
client2,0.17,14,466.088803
client2,0.17,15,498.65753
client2,0.17,16,531.226256
client2,0.17,17,563.794983
client2,0.17,18,596.363709
client2,0.17,19,628.932436
client2,0.17,20,661.501163
client2,0.17,21,694.069889
client2,0.17,22,726.638616
client2,0.17,23,759.207342
client2,0.17,24,791.776069
client2,0.17,25,824.344795
client2,0.17,26,856.913522
client2,0.17,27,889.482249
client2,0.17,28,922.050975
client2,0.17,29,954.619702
client2,0.17,30,987.188428
client2,0.17,31,1019.757155
client2,0.17,32,1052.325881
client2,0.17,33,1084.894608
client2,0.17,34,1117.463335
client2,0.17,35,1150.032061
client2,0.17,36,1182.600788
client2,0.17,37,1215.169514
client2,0.17,38,1247.738241
client2,0.17,39,1280.306968
client2,0.17,40,1312.875694
client2,0.17,41,1345.444421
client2,0.17,42,1378.013147
client2,0.17,43,1410.581874
client2,0.17,44,1443.1506
client2,0.17,45,1475.719327
client2,0.17,46,1508.288054
client2,0.17,47,1540.85678
client2,0.17,48,1573.425507
client2,0.17,49,1605.994233
client2,0.17,50,1638.56296
client2,0.17,51,1671.131686
client2,0.17,52,1703.700413
client2,0.17,53,1736.26914
client2,0.17,54,1768.837866
client2,0.17,55,1801.406593
client2,0.17,56,1833.975319
client2,0.17,57,1866.544046
client2,0.17,58,1899.112772
client2,0.17,59,1931.681499
client2,0.17,60,1964.250226
client2,0.17,61,1996.818952
client2,0.17,62,2029.387679
client2,0.17,63,2061.956405
client2,0.17,64,2094.525132
client2,0.17,65,2127.093858
client2,0.17,66,2159.662585
client2,0.17,67,2192.231312
client2,0.17,68,2224.800038
client2,0.17,69,2257.368765
client2,0.17,70,2289.937491
client2,0.17,71,2322.506218
client2,0.17,72,2355.074944
client2,0.17,73,2387.643671
client2,0.17,74,2420.212398
client2,0.17,75,2452.781124
client2,0.17,76,2485.349851
client2,0.17,77,2517.918577
client2,0.17,78,2550.487304
client2,0.17,79,2583.05603
client2,0.17,80,2615.624757
client2,0.17,81,2648.193484
client2,0.17,82,2680.76221
client2,0.17,83,2713.330937
client2,0.17,84,2745.899663
client2,0.17,85,2778.46839
client2,0.17,86,2811.037117
client2,0.17,87,2843.605843
client2,0.17,88,2876.17457
client2,0.17,89,2908.743296
client2,0.17,90,2941.312023
client2,0.17,91,2973.880749
client2,0.17,92,3006.449476
client2,0.17,93,3039.018203
client2,0.17,94,3071.586929
client2,0.17,95,3104.155656
client2,0.17,96,3136.724382
